time,g_mean,g_min,g_max,g_sd,g_median,s_mean,s_min,s_max,s_sd,s_median,raw_value1,raw_value2,raw_value3,raw_value4,raw_value5,raw_value6,raw_value7,raw_value8,raw_value9,raw_value10,raw_value11,raw_value12,raw_value13,raw_value14,raw_value15,raw_value16,raw_value17,raw_value18,raw_value19,raw_value20,raw_value21,raw_value22,raw_value23,raw_value24,raw_value25,raw_value26,raw_value27,raw_value28,raw_value29,raw_value30,raw_value31,raw_value32,raw_value33,raw_value34,raw_value35,raw_value36,raw_value37,raw_value38,raw_value39,raw_value40,diff_mean,diff_min,diff_max,diff_sd,diff_median
2025-09-14 14:03:45,475.4,468.0,486.0,3.8,476.0,475.4,468,486,3.8,476,0,480,478,476,472,476,478,468,476,486,478,480,470,472,476,476,476,478,476,482,474,472,470,472,478,474,474,468,476,472,468,474,476,474,476,478,478,476,480,-2,0.0,0.0,0.0,0.0,0.0
2025-09-14 14:08:55,475.6,466.0,480.0,3.3,476.0,475.6,466,480,3.3,476,478,478,478,476,472,466,476,480,470,480,476,474,480,478,474,472,480,474,478,474,472,472,474,480,472,476,480,476,480,470,478,474,478,476,476,476,476,478,472,472,0.0,0.0,0.0,0.0,0.0
2025-09-14 14:14:04,474.9,468.0,482.0,3.5,474.0,474.9,468,482,3.5,474,476,472,470,478,472,474,468,472,478,476,472,480,474,470,478,478,474,472,472,478,474,476,474,482,468,474,476,472,482,472,480,482,472,476,474,476,476,476,476,474,0.0,0.0,0.0,0.0,0.0
2025-09-14 14:19:13,477.4,468.0,484.0,4.0,476.0,477.4,468,484,4.0,476,482,478,482,476,472,476,476,476,482,474,482,468,470,484,476,472,476,478,480,464,474,476,480,478,480,478,472,478,476,476,482,484,472,474,482,476,480,480,476,484,0.0,0.0,0.0,0.0,0.0
2025-09-14 14:24:23,476.5,468.0,484.0,3.4,476.0,476.5,468,484,3.4,476,484,474,476,478,480,478,474,482,476,470,476,478,472,474,480,476,476,474,478,474,480,472,474,476,472,478,476,472,480,480,476,476,478,478,478,482,468,462,480,476,0.0,0.0,0.0,0.0,0.0
2025-09-14 14:29:32,476.4,468.0,484.0,3.9,478.0,476.4,468,484,3.9,478,474,474,478,472,480,474,470,474,482,478,480,468,474,484,480,476,472,478,478,480,474,470,476,480,478,478,478,476,478,474,482,470,468,480,480,478,466,476,476,480,0.0,0.0,0.0,0.0,0.0
2025-09-14 14:34:41,476.1,466.0,484.0,3.8,476.0,476.1,466,484,3.8,476,480,478,478,476,478,478,472,480,484,480,476,472,476,482,470,474,468,476,474,482,474,478,478,476,478,472,472,0,482,474,478,466,0,476,478,472,478,476,476,474,0.0,0.0,0.0,0.0,0.0
2025-09-14 14:39:50,475.4,468.0,480.0,3.1,476.0,475.4,468,480,3.1,476,468,474,472,480,478,480,476,476,474,474,472,478,478,478,478,480,474,472,474,478,476,478,470,478,476,476,478,480,476,472,474,468,476,474,472,476,476,472,478,474,0.0,0.0,0.0,0.0,0.0
2025-09-14 14:45:00,475.7,468.0,482.0,4.0,476.0,475.7,468,482,4.0,476,480,474,0,470,478,476,476,478,478,474,482,474,478,472,474,476,478,482,482,478,476,474,482,474,482,478,0,472,470,470,480,470,470,478,472,472,480,474,468,474,0.0,0.0,0.0,0.0,0.0
2025-09-14 14:50:09,475.7,468.0,484.0,3.4,476.0,475.7,468,484,3.4,476,474,478,480,474,476,472,474,474,476,478,474,476,484,470,474,478,482,472,478,480,474,468,472,472,472,476,478,478,472,480,480,476,472,472,474,476,480,478,478,474,0.0,0.0,0.0,0.0,0.0
2025-09-14 14:55:18,475.7,470.0,482.0,2.5,476.0,475.7,470,482,2.5,476,478,474,476,474,474,476,478,472,474,474,472,470,476,478,476,474,472,478,478,474,472,474,474,476,474,476,478,478,482,474,476,474,476,476,478,476,478,480,480,476,0.0,0.0,0.0,0.0,0.0
2025-09-14 15:00:27,475.4,466.0,482.0,3.9,476.0,475.4,466,482,3.9,476,474,478,472,476,470,474,478,472,478,478,470,478,474,480,482,476,474,476,476,478,472,476,476,482,478,466,474,482,474,476,468,468,478,474,474,472,480,474,476,482,0.0,0.0,0.0,0.0,0.0
2025-09-14 15:05:37,476.1,470.0,484.0,3.8,476.0,476.1,470,484,3.8,476,480,476,478,480,482,480,478,478,476,472,480,480,474,474,478,474,470,480,474,480,474,476,472,480,474,476,-1,472,476,470,472,464,470,476,480,484,470,480,472,472,0.0,0.0,0.0,0.0,0.0
